# BUSCO version is: 5.2.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	KN468609.1	103849	150660	-	6021.5	4436	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	KN461161.1	96486	118003	-	4874.2	2494	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	KN465215.1	38315	71622	+	7872.2	3945	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	KN468562.1	6213	22062	-	7071.5	3817	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	KN462146.1	224	32227	+	6193.7	3528	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	KN460706.1	120538	144234	+	7514.8	3915	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	KN467086.1	136	37351	+	3112.8	2247	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	KN466545.1	71526	140417	-	6667.2	3231	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	KN462015.1	1095379	1185624	-	5319.4	2942	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	KN461409.1	3416	46962	-	5145.4	3036	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	KN468349.1	497	82269	+	3222.5	2190	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	KN461721.1	81452	133009	+	5329.7	2582	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	KN467006.1	64290	129061	+	4916.6	2886	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	KN461553.1	430140	446101	-	1893.3	1941	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
