# BUSCO version is: 5.2.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	NC_047134.1	13931246	14006316	-	7083.7	5243	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	NC_047132.1	15704141	15755507	+	7984.6	4263	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	NC_047146.1	7669964	7703313	-	7914.8	3946	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	NC_047138.1	16735433	16751282	+	7071.5	3817	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	NC_047132.1	583336	623765	-	6605.3	3745	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	NC_047134.1	15233942	15258466	-	7531.9	3917	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	NC_047145.1	7423083	7479785	+	4044.1	2921	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	NC_047144.1	4834142	4903251	-	6692.4	3231	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	NC_047131.1	20396588	20485215	+	5410.6	2942	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	NC_047133.1	14957941	15001646	+	5147.7	3086	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	NC_047129.1	20933996	21028276	-	4048.0	2621	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	NC_047126.1	26349242	26400858	+	5316.3	2582	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	NC_047140.1	21967575	22035648	+	4916.8	2884	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	NC_047142.1	11946669	11962800	+	1882.9	1922	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	NC_047126.1	12766327	12790088	+	4081.3	2405	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	NC_047139.1	23675358	23698475	+	3529.8	2164	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	NC_047129.1	29722897	29760129	-	3021.5	2566	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	NC_047132.1	21539231	21616666	+	4388.6	2147	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	NC_047147.1	4849617	4884760	-	3643.6	2085	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	NC_047134.1	20242561	20269817	-	4115.6	2296	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	NC_047138.1	10700564	10712462	+	4965.0	2170	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	NC_047131.1	4740873	4777516	-	2144.5	1663	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	NC_047134.1	13334974	13346979	+	2816.7	1965	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	NC_047129.1	7146773	7175139	-	3974.5	2111	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	NC_047147.1	23851255	23876681	-	4165.6	2100	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	NC_047138.1	2872330	2934762	-	2511.6	1643	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Complete	NC_047138.1	16298956	16321995	+	3409.2	2476	https://www.orthodb.org/v10?query=5520at7742	serine-protein kinase ATM
5604at7742	Complete	NC_047131.1	9877850	9922914	+	2431.3	1943	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	NC_047148.1	8229536	8256688	+	3455.0	2228	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	NC_047145.1	13149773	13169499	+	3928.6	2035	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	NC_047134.1	13529576	13541855	-	3537.5	1859	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	NC_047141.1	19097555	19112937	-	3680.7	2006	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	NC_047146.1	4551606	4565297	-	1550.4	1206	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	NC_047141.1	18125212	18151832	-	4422.2	2302	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	NC_047149.1	16188064	16336879	-	2895.6	1818	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	NC_047140.1	9725746	9773840	+	2870.6	1816	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	NC_047131.1	13176719	13212772	-	2646.9	2221	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	NC_047147.1	9219212	9244519	+	2275.1	1807	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	NC_047134.1	16929069	16958078	-	2414.2	1534	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	NC_047130.1	16352992	16383696	+	1207.2	1350	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	NC_047138.1	6985806	6993413	+	2284.0	1488	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	NC_047146.1	10795917	10807297	+	2720.8	1797	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	NC_047146.1	4943996	4967774	+	2968.9	1604	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	NC_047145.1	17587335	17612268	-	1813.6	1498	https://www.orthodb.org/v10?query=8766at7742	rotatin
